Date,Added Ticker,Added Company,Removed Ticker,Removed Company,Reason
09-Feb-26,CIEN,Ciena,DAY,Dayforce,Thoma Bravo L.P. acquired Dayforce.[6]
22-Dec-25,CRH,CRH,LKQ,LKQ Corporation,Market capitalization change.[7]
22-Dec-25,CVNA,Carvana,SOLS,Solstice Advanced Materials,Market capitalization change.[7]
22-Dec-25,FIX,Comfort Systems USA,MHK,Mohawk Industries,Market capitalization change.[7]
11-Dec-25,ARES,Ares Management,K,Kellanova,Mars Inc. acquired Kellanova.[8]
28-Nov-25,SNDK,Sandisk,IPG,Interpublic Group,S&P 500 constituent Omnicom Group Inc. acquired (The) Interpublic Group.[9][10]
04-Nov-25,,,EMN,Eastman Chemical Co.,Market capitalization change.[11]
03-Nov-25,Q,Qnity Electronics,,,"S&P 500 constituent Dupont de Nemours, Inc. spun off Qnity Electronics.[11]"
31-Oct-25,,,KMX,CarMax,Market capitalization change.[11]
30-Oct-25,SOLS,Solstice Advanced Materials,,,S&P 500 and S&P 100 constituent Honeywell International Inc. spun off Solstice Advanced Materials.[11]
22-Sep-25,EME,Emcor,ENPH,Enphase Energy,Market capitalization change.[12]
22-Sep-25,HOOD,Robinhood Markets,CZR,Caesars Entertainment,Market capitalization change.[12]
22-Sep-25,APP,AppLovin,MKTX,MarketAxess,Market capitalization change.[12]
28-Aug-25,IBKR,Interactive Brokers,WBA,Walgreens Boots Alliance,Sycamore Partners acquired Walgreen Boots Alliance.[13]
23-Jul-25,XYZ,"Block, Inc.",HES,Hess Corporation,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corporation[14]
18-Jul-25,TTD,Trade Desk (The),ANSS,Ansys,S&P 500 constituent Synopsys Inc. acquired Ansys.[15]
09-Jul-25,DDOG,Datadog,JNPR,Juniper Networks,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.[16]
19-May-25,COIN,Coinbase,DFS,Discover Financial,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.[17]
24-Mar-25,DASH,DoorDash,BWA,BorgWarner,Market capitalization change.[18]
24-Mar-25,TKO,TKO Group Holdings,TFX,Teleflex,Market capitalization change.[18]
24-Mar-25,WSM,"Williams-Sonoma, Inc.",CE,Celanese,Market capitalization change.[18]
24-Mar-25,EXE,Expand Energy,FMC,FMC Corporation,Market capitalization change.[18]
23-Dec-24,APO,Apollo Global Management,QRVO,Qorvo,Market capitalization change.[19]
23-Dec-24,WDAY,"Workday, Inc.",AMTM,Amentum,Market capitalization change.[19]
23-Dec-24,LII,Lennox International,CTLT,Catalent,Novo Holdings A/S acquired Catalent.[20]
26-Nov-24,TPL,Texas Pacific Land Corporation,MRO,Marathon Oil,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[21]
01-Oct-24,,,BBWI,"Bath & Body Works, Inc.",Market capitalization change.[22]
30-Sep-24,AMTM,Amentum,,,"S&P 500 constituent Jacobs Solutions spun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings.[22]"
23-Sep-24,PLTR,Palantir Technologies,AAL,American Airlines Group,Market capitalization change.[23]
23-Sep-24,DELL,Dell Technologies,ETSY,Etsy,Market capitalization change.[23]
23-Sep-24,ERIE,Erie Indemnity,BIO,Bio-Rad Laboratories,Market capitalization change.[23]
24-Jun-24,KKR,KKR,RHI,Robert Half,Market capitalization change.[24]
24-Jun-24,CRWD,CrowdStrike,CMA,Comerica,Market capitalization change.[24]
24-Jun-24,GDDY,GoDaddy,ILMN,"Illumina, Inc.",Market capitalization change.[24]
08-May-24,VST,Vistra,PXD,Pioneer Natural Resources,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[25]
03-Apr-24,,,XRAY,Dentsply Sirona,Market capitalization change.[26]
03-Apr-24,,,VFC,VF Corporation,Market capitalization change.[26]
02-Apr-24,GEV,GE Vernova,,,S&P 500 and 100 constituent General Electric Corp. spun off GE Vernova.[26]
01-Apr-24,SOLV,Solventum,,,S&P 500 and 100 constituent 3M Co. spun off Solventum.[26]
18-Mar-24,SMCI,Supermicro,WHR,Whirlpool Corporation,Market capitalization change.[27]
18-Mar-24,DECK,Deckers Brands,ZION,Zions Bancorporation,Market capitalization change.[27]
18-Dec-23,UBER,Uber,SEE,Sealed Air,Market capitalization change.[28]
18-Dec-23,JBL,Jabil,ALK,Alaska Air Group,Market capitalization change.[28]
18-Dec-23,BLDR,Builders FirstSource,SEDG,SolarEdge,Market capitalization change.[28]
18-Oct-23,HUBB,Hubbell,OGN,Organon & Co.,Market capitalization change.[29]
18-Oct-23,LULU,Lululemon Athletica,ATVI,Activision Blizzard,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[29]
03-Oct-23,,,DXC,DXC Technology,Market capitalization change.[30]
02-Oct-23,VLTO,Veralto,,,S&P 500 and S&P 100 constituent Danaher Corporation spun off Veralto.[30]
18-Sep-23,BX,Blackstone,LNC,Lincoln National Corporation,Market capitalization change.[31]
18-Sep-23,ABNB,Airbnb,NWL,Newell Brands,Market capitalization change.[31]
25-Aug-23,KVUE,Kenvue,AAP,Advance Auto Parts,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[32]
20-Jun-23,PANW,Palo Alto Networks,DISH,Dish Network,Market capitalization change.[33]
04-May-23,AXON,Axon Enterprise,FRC,First Republic Bank,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[34]
20-Mar-23,FICO,Fair Isaac,LUMN,Lumen Technologies,Market capitalization change.[35]
15-Mar-23,BG,Bunge Global,SBNY,Signature Bank,The FDIC placed Signature Bank into FDIC Receivership.[36]
15-Mar-23,PODD,Insulet,SIVB,SVB Financial Group,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[37]"
05-Jan-23,,,VNO,Vornado Realty Trust,Market capitalization change.[38]
04-Jan-23,GEHC,GE HealthCare,,,S&P 500 constituent General Electric spun off GE HealthCare.[38]
22-Dec-22,STLD,Steel Dynamics,ABMD,Abiomed,S&P 500 constituent Johnson & Johnson acquired Abiomed.[39]
19-Dec-22,FSLR,First Solar,FBHS,Fortune Brands Home & Security,Market capitalization change.[40]
19-Dec-22,,,MBC,MasterBrand,Market capitalization change.[40]
15-Dec-22,MBC,MasterBrand,,,S&P 500 constituent Fortune Brands Home & Security spun off MasterBrand.[40]
01-Nov-22,ACGL,Arch Capital Group,TWTR,Twitter,Elon Musk acquired Twitter.[41]
12-Oct-22,TRGP,Targa Resources,NLSN,Nielsen Holdings,Elliot Management Corp acquired Nielsen Holdings.[42]
03-Oct-22,PCG,PG&E,CTXS,Citrix Systems,Vista Equity Partners acquired Citrix Systems.[43]
03-Oct-22,EQT,EQT Corporation,DRE,Duke Realty,S&P 500 constituent Prologis Inc. acquired Duke Realty.[43]
19-Sep-22,CSGP,CoStar Group,PVH,PVH,Market capitalization change.[44]
19-Sep-22,INVH,Invitation Homes,PENN,Penn Entertainment,Market capitalization change.[44]
21-Jun-22,,,UA,Under Armour (Class C),Market capitalization change.[45]
21-Jun-22,KDP,Keurig Dr Pepper,UAA,Under Armour (Class A),Market capitalization change.[45]
21-Jun-22,ON,ON Semiconductor,IPGP,IPG Photonics,Market capitalization change.[45]
08-Jun-22,VICI,Vici Properties,CERN,Cerner,S&P 500 constituent Oracle Corp. acquired Cerner.[45]
11-Apr-22,WBD,Warner Bros. Discovery,DISCA,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.[46]
11-Apr-22,,,DISCK,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.[46]
04-Apr-22,CPT,Camden Property Trust,PBCT,People's United Financial,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.[47]
02-Mar-22,MOH,Molina Healthcare,INFO,IHS Markit,S&P 500 constituent S&P Global Inc. acquired IHS Markit.[48]
15-Feb-22,NDSN,Nordson Corporation,XLNX,Xilinx,S&P 500 constituent Advanced Micro Devices acquired Xilinx.[49]
03-Feb-22,,,GPS,Gap,Market capitalization change.[50]
02-Feb-22,CEG,Constellation Energy,,,S&P 500 and 100 constituent Exelon Corp. spun off Constellation Energy.[50]
20-Dec-21,SBNY,Signature Bank,LEG,Leggett & Platt,Market capitalization change.[51]
20-Dec-21,SEDG,SolarEdge,HBI,Hanesbrands,Market capitalization change.[51]
20-Dec-21,FDS,FactSet,WU,Western Union,Market capitalization change.[51]
